"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,12.8,0.3,Aries MERRITT,24 JUL 1985,USA,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1294
1,2,12.81,1.8,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1292
2,3,12.84,1.6,Devon ALLEN,12 DEC 1994,USA,1,"Icahn Stadium, New York, NY (USA)",12 JUN 2022,1286
3,4,12.86,2.0,Grant HOLLOWAY,19 NOV 1997,USA,1,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1282
4,5,12.87,0.9,Dayron ROBLES,19 NOV 1986,CUB,1,Ostrava (CZE),12 JUN 2008,1280
5,6,12.88,1.1,Xiang LIU,13 JUL 1983,CHN,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1278
6,6,12.88,0.5,Dayron ROBLES,19 NOV 1986,CUB,1,"Stade de France, Paris-St-Denis (FRA)",18 JUL 2008,1278
7,8,12.89,0.5,David OLIVER,24 APR 1982,USA,1,"Stade de France, Paris-St-Denis (FRA)",16 JUL 2010,1276
8,9,12.9,1.1,Dominique ARNOLD,14 SEP 1973,USA,2f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1274
9,9,12.9,1.6,David OLIVER,24 APR 1982,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1274
10,9,12.9,0.7,Omar MCLEOD,25 APR 1994,JAM,1,Kingston (JAM),24 JUN 2017,1274
11,12,12.91,0.3,Xiang LIU,13 JUL 1983,CHN,1,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1272
12,12,12.91,0.2,Dayron ROBLES,19 NOV 1986,CUB,1,Stockholm (SWE),22 JUL 2008,1272
13,14,12.92,1.5,Xiang LIU,13 JUL 1983,CHN,1,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1270
14,14,12.92,0.0,Dayron ROBLES,19 NOV 1986,CUB,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",23 SEP 2007,1270
15,14,12.92,-0.3,Aries MERRITT,24 JUL 1985,USA,1,"Olympic Stadium, London (GBR)",08 AUG 2012,1271
16,14,12.92,0.6,Sergey SHUBENKOV,04 OCT 1990,RUS,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",02 JUL 2018,1270
17,14,12.92,0.8,Grant HOLLOWAY,19 NOV 1997,USA,1h1,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1270
18,19,12.93,-0.6,Xiang LIU,13 JUL 1983,CHN,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",09 SEP 2006,1271
19,19,12.93,0.1,Dayron ROBLES,19 NOV 1986,CUB,1,"National Stadium, Beijing (CHN)",21 AUG 2008,1268
20,19,12.93,1.7,David OLIVER,24 APR 1982,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUN 2010,1268
21,19,12.93,-0.3,David OLIVER,24 APR 1982,USA,1,"Letzigrund, Zürich (SUI)",19 AUG 2010,1269
22,19,12.93,1.2,Aries MERRITT,24 JUL 1985,USA,1,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1268
23,19,12.93,0.6,Aries MERRITT,24 JUL 1985,USA,1,"Crystal Palace, London (GBR)",13 JUL 2012,1268
24,19,12.93,0.0,Aries MERRITT,24 JUL 1985,USA,1,"Stade Louis II, Monaco (MON)",20 JUL 2012,1268
25,19,12.93,0.9,Hansle PARCHMENT,17 JUN 1990,JAM,1,"Hayward Field, Eugene, OR (USA)",17 SEP 2023,1268
26,19,12.93,2.0,Freddie CRITTENDEN,03 AUG 1994,USA,2,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1268
27,28,12.94,1.8,David OLIVER,24 APR 1982,USA,1,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1266
28,28,12.94,0.1,Aries MERRITT,24 JUL 1985,USA,1sf2,"Olympic Stadium, London (GBR)",08 AUG 2012,1266
29,28,12.94,0.8,Hansle PARCHMENT,17 JUN 1990,JAM,1,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1266
30,28,12.94,0.5,Orlando ORTEGA,29 JUL 1991,CUB,1f1,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1266
31,28,12.94,0.7,Rasheed BROADBELL,13 AUG 2000,JAM,1,"National Stadium, Kingston (JAM)",09 JUL 2023,1266
32,33,12.95,1.5,Terrence TRAMMELL,23 NOV 1978,USA,2,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1264
33,33,12.95,1.7,Xiang LIU,13 JUL 1983,CHN,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1264
34,33,12.95,2.0,David OLIVER,24 APR 1982,USA,1,Doha (QAT),09 MAY 2008,1264
35,33,12.95,-1.7,Dayron ROBLES,19 NOV 1986,CUB,1f1,Dubnica nad Váhom (SVK),07 SEP 2008,1274
36,33,12.95,-0.9,Aries MERRITT,24 JUL 1985,USA,1,"Alexander Stadium, Birmingham (GBR)",26 AUG 2012,1269
37,33,12.95,0.2,Pascal MARTINOT-LAGARDE,22 SEP 1991,FRA,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,1264
38,33,12.95,0.6,Sergey SHUBENKOV,04 OCT 1990,RUS,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1264
39,40,12.96,0.4,Allen JOHNSON,01 MAR 1971,USA,1,"Olympic Stadium, Athina (GRE)",17 SEP 2006,1262
40,40,12.96,-0.6,Dayron ROBLES,19 NOV 1986,CUB,1,Villeneuve d'Ascq (FRA),27 JUN 2008,1265
41,40,12.96,0.3,Omar MCLEOD,25 APR 1994,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",04 JUL 2017,1262
42,40,12.96,0.4,Grant HOLLOWAY,19 NOV 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2021,1262
43,40,12.96,1.3,Cordell TINCH,13 JUL 2000,USA,1,"John McDonnell Field, Fayetteville, AR (USA)",23 JUN 2023,1262
44,40,12.96,0.0,Grant HOLLOWAY,19 NOV 1997,USA,1,"Nemzeti Atlétikai Központ, Budapest (HUN)",21 AUG 2023,1262
45,40,12.96,0.0,Hansle PARCHMENT,17 JUN 1990,JAM,1,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1262
46,40,12.96,0.3,Grant HOLLOWAY,19 NOV 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1262
47,40,12.96,2.0,Daniel ROBERTS,13 NOV 1997,USA,3,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1262
48,49,12.97,1.5,Allen JOHNSON,01 MAR 1971,USA,1,"Sacramento, CA (USA)",23 JUL 2000,1260
49,49,12.97,0.0,Allen JOHNSON,01 MAR 1971,USA,1f1,Paris (FRA),04 JUL 2003,1260
50,49,12.97,1.0,Ladji DOUCOURÉ,28 MAR 1983,FRA,1,Angers (FRA),15 JUL 2005,1260
51,49,12.97,0.3,Dayron ROBLES,19 NOV 1986,CUB,1,"Letzigrund, Zürich (SUI)",29 AUG 2008,1260
52,49,12.97,0.4,Xiang LIU,13 JUL 1983,CHN,1,"Shanghai Stadium, Shanghai (CHN)",19 MAY 2012,1260
53,49,12.97,1.2,Aries MERRITT,24 JUL 1985,USA,1,"Olympiastadion, Berlin (GER)",02 SEP 2012,1260
54,49,12.97,1.0,Omar MCLEOD,25 APR 1994,JAM,1,Kingston (JAM),27 JUN 2015,1260
